"MARKETCAP","NAME","TICKER"
"1043011158","Bandwidth Inc","BAND"
"1989481244","BancFirst Corp","BANF"
"1958648873","Banner Corp","BANR"
"297860658","Basic Energy Services Inc","BAS"
"11995850","Bioanalytical Systems Inc","BASI"
"11161800000","Liberty Media Corp","BATRA"
"11161800000","Liberty Media Corp","BATRK"
"39055800000","Baxter International Inc","BAX"
"1896736500","Bed Bath & Beyond Inc","BBBY"
"175736334","Beasley Broadcast Group Inc","BBGI"
"15541584","Black Box Corp","BBOX"
"498414500","Barrett Business Services Inc","BBSI"
"38533180000","BB&T Corp","BBT"
"38533180000","BB&T Corp","BBTpD"
"38533180000","BB&T Corp","BBTpE"
"38533180000","BB&T Corp","BBTpF"
"38533180000","BB&T Corp","BBTpG"
"38533180000","BB&T Corp","BBTpH"
"119108981","Build-A-Bear Workshop Inc","BBW"
"618941070","BBX Capital Corp","BBX"
"20156885000","Best Buy Co Inc","BBY"
"5285826000","Brunswick Corp","BC"
"216849960","BCB Bancorp Inc","BCBP"
"1284734815","Boise Cascade Co","BCC"
"597074940","Bonanza Creek Energy Inc","BCEI"
"70218565","Brainstorm Cell Therapuetics Inc","BCLI"
"3333632000","Brinks Co","BCO"
"1702506960","Blucora Inc","BCOR"
"276752000","Brightcove Inc","BCOV"
"3215113091","Balchem Corp","BCPC"
"87902630","Blue Capital Reinsurance Holdings Ltd","BCRH"
"653476005","BioCryst Pharmaceuticals Inc","BCRX"
"50422800","Bancorp 34 Inc","BCTF"
"2614141200","Belden Inc","BDC"
"2614141200","Belden Inc","BDCpB"
"633402000","Bridge Bancorp Inc","BDGE"
"53237810","Flanigan's Enterprises Inc","BDL"
"2722338890","Brandywine Realty Trust","BDN"
"9492000","Blonder Tongue Laboratories Inc","BDR"
"201367075","BioDelivery Sciences International Inc","BDSI"
"65250206320","Becton Dickinson and Co","BDX"
"65250206320","Becton Dickinson and Co","BDXA"
"1867133440","BioTelemetry Inc","BEAT"
"2292260940","Beacon Roofing Supply Inc","BECN"
"1349502000","Belmond Ltd","BEL"
"258560000","Bel Fuse Inc","BELFA"
"258560000","Bel Fuse Inc","BELFB"
"15883400000","Franklin Resources Inc","BEN"
"5961662000","Berry Global Group Inc","BERY"
"22862575644","Brown-Forman Corp","BF.A"
"6617689610","Bright Horizons Family Solutions Inc","BFAM"
"22862575644","Brown-Forman Corp","BF.B"
"271737089","BankFinancial Corp","BFIN"
"1164865800","Saul Centers Inc","BFS"
"1164865800","Saul Centers Inc","BFSpC"
"1164865800","Saul Centers Inc","BFSpD"
"275897668","Business First Bancshares Inc","BFST"
"9552819961","Bunge Ltd","BG"
"5320144050","BGC Partners Inc","BGCP"
"109541700","Big 5 Sporting Goods Corp","BGFV"
"776995960","Briggs & Stratton Corp","BGG"
"92667345000","BeiGene Ltd","BGNE"
"1758205549","B&G Foods Inc","BGS"
"234266665","BG Staffing Inc","BGSF"
"420330533","Biglari Holdings Inc","BH"
"33790000","Barington/Hilco Acquisition Corp","BHAC"
"33790000","Barington/Hilco Acquisition Corp","BHACR"
"33790000","Barington/Hilco Acquisition Corp","BHACU"
"33790000","Barington/Hilco Acquisition Corp","BHACW"
"429136760","Bar Harbor Bankshares","BHB"
"605305223","Blue Hills Bancorp Inc","BHBK"
"8550642000","Bausch Health Companies Inc.","BHC"
"1106468130","Benchmark Electronics Inc","BHE"
"5375416997","Brighthouse Financial Inc","BHF"
"12084000000","Baker Hughes A GE Co","BHGE"
"1880488350","Berkshire Hills Bancorp Inc","BHLB"
"328869540","Braemar Hotels & Resorts Inc.","BHR"
"328869540","Braemar Hotels & Resorts Inc.","BHRpB"
"1366168000","Biohaven Pharmaceutical Holding Company Ltd","BHVN"
"2192820000","Sotheby's","BID"
"1770954900","Big Lots Inc","BIG"
"70202145000","Biogen Inc","BIIB"
"8542911300","Bio Rad Laboratories Inc","BIO"
"8542911300","Bio Rad Laboratories Inc","BIO.B"
"5201170","Biocept Inc","BIOC"
"32039280","BIOLASE Inc","BIOL"
"379885500","BioScrip Inc","BIOS"
"1414904760","BJ's Restaurants Inc","BJRI"
"51772781280","Bank of New York Mellon Corp","BK"
"51772781280","Bank of New York Mellon Corp","BK4237710"
"1711710000","Brookdale Senior Living Inc","BKD"
"1051044960","Buckle Inc","BKE"
"86708000","Blueknight Energy Partners LP","BKEP"
"86708000","Blueknight Energy Partners LP","BKEPP"
"9003270","BKF Capital Group Inc","BKF"
"3366610000","Black Hills Corp","BKH"
"3366610000","Black Hills Corp","BKHU"
"7144249000","Black Knight, Inc.","BKI"
"121478400","Bancorp of New Jersey Inc","BKJ"
"86807400000","Booking Holdings Inc","BKNG"
"51772781280","Bank of New York Mellon Corp","BKpC"
"526610070","Barnes & Noble Inc","BKS"
"113966334","Bank of South Carolina","BKSC"
"54866946","RELM Wireless Corp","BKTI"
"3676342382","BankUnited Inc","BKU"
"15707000","BIO-Key International Inc","BKYI"
"2303936100","Blackline Inc","BL"
"664519389","Blue Bird Corp","BLBD"
"213590000","Bellicum Pharmaceuticals Inc","BLCM"
"1880014371","TopBuild Corp","BLD"
"1576522430","Builders FirstSource Inc","BLDR"
"2142000","Apple Green Holding, Inc.","BLES"
"258960128","BioLife Solutions Inc","BLFS"
"3780000","Bridgeline Digital Inc","BLIN"
"69505849437","BlackRock Inc","BLK"
"3512681171","Blackbaud Inc","BLKB"
"15576736560","Ball Corp","BLL"
"1889107220","Bloomin' Brands Inc","BLMN"
"284996730","BSB Bancorp Inc","BLMT"
"49004800","Blink Charging Co","BLNK"
"49004800","Blink Charging Co","BLNKW"
"63524699","Bellerophon Therapeutics Inc","BLPH"
"6420580000","bluebird bio Inc","BLUE"
